"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.046022679,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.405037445,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.288454855,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.261506728,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.150738208,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.233424391,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.142221229,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.740407308,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.770711605,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.311163633,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.222247457,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.732000112,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.764276964,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.774102322,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.329919527,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.2517764,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.788708787,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.39740667,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q4",3.215098165,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.857630259,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.795943647,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.87351854,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.426812884,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.410655016,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-1.948431564,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",3.531721291,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.100496567,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.440976211,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",1.748643172,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q4",5.220155762,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-2.050575068,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",4.899376219,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.055514349,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.226395248,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.13273242,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.45897235,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.044750089,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.525884387,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-19.428322456,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",17.595765822,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.482439501,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.171912613,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",5.555746599,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.937339938,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.275237583,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.751223416,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.426116907,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.696689921,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.365134952,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.207322332,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.811153699,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.619102709,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.196789738,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q1",3.330827646,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.419040632,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.025203826,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.766512983,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.796147943,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.389960487,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.46067218,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.521373485,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.992876481,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q3",6.126802553,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.084548227,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.065582661,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.310805805,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.443430919,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.98575435,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.099863771,
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.365570965,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.37901041,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.376576034,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.391222646,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.652092761,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.798457005,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.222620107,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.502705329,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.128356521,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.605876202,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.222277268,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.322286957,"P"
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.496646407,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.033333441,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-2.816475977,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.509772704,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.935514875,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.291054786,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.757827374,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.322732038,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.520030338,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.74171144,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.940675115,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.246936474,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.599567995,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.434427162,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.019896487,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.689257575,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.442568892,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.43110868,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.026381741,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.789452231,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.711126046,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.097585392,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.201842584,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.1,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.172095149,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.219103339,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.432830198,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.314880499,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-4.667096015,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",4.482022097,
"NOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.637801429,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.027933679,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.752408276,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.943606975,
"NOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.014087378,
"NOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.966770209,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.442306924,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.184707122,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.538069183,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.362555795,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.20531889,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.468439462,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.510704888,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.67929683,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.232945995,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.938295901,
"HUN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.004177619,
"HUN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",2.09999708,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.990737829,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.326642811,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.300683754,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.157302609,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.042537245,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",8.983958377,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.192421261,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.172780872,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.901349118,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.34544577,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.627299148,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.400004705,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.735341862,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.160247942,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-1.716907361,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-4.089572327,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.91395574,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.875660402,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q4",4.455026377,
"ARG","QGDP","TOT","PC_CHGPP","Q","2021-Q1",3.216986453,
"ARG","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.562246523,
"ARG","QGDP","TOT","PC_CHGPP","Q","2021-Q3",4.039905962,
"ARG","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.549841884,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.308393338,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.235404463,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.37898751,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-4.53763119,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.460548549,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.798273404,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.23242383,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.598583829,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.949364233,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.290442845,
"SVN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",5.282223956,
"SVN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.798775493,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.916562976,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.065990553,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.246759114,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.270016027,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.162553058,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.011075743,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.925318632,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.124703609,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.813097918,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.994904569,
"FIN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.704622804,
"FIN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.441553589,"P"
"BRA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.575294075,
"BRA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.005114589,
"BRA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.280390505,
"BRA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.220685609,
"BRA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.861983915,
"BRA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.802520923,
"BRA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",3.007517211,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.41943789,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.33814568,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.061936185,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.544195167,
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.417040291,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.36447798,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.504342086,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.643390807,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.375905344,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.505689788,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.000280038,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.516246229,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q2",3.753976039,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.034612473,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.008772195,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.026801524,"P"
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.792924408,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.685498791,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.469097618,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.303582746,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.937250501,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.547534636,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.115276766,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.533889627,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.64074654,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.570948111,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.680778266,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.355417395,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.347874646,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.240853989,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.519030784,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.872913717,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.212549663,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.064177923,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.430804656,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.42018584,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.900386281,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.358911607,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.353367167,
"SVK","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.360030805,
"MEX","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.386137965,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.514481043,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.909181163,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.913194541,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.85009951,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q3",13.491967191,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q4",3.476657098,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.76438718,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.04286433,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.698398303,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.020623217,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.237696969,
"BEL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.431373613,
"BEL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.669944351,
"BEL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.639546325,
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.152524597,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.635739588,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.894648291,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.115091888,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.316718704,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.711408473,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.101912551,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.426565398,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.333295226,
"ISR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.37089414,
"ISR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.059416202,
"ISR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.096246646,
"ISR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.934477719,
"ISR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.250583224,
"ISR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",8.372358777,
"ISR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.156354737,
"ISR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.214483186,
"ISR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",3.919207151,
"ISR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.590382255,
"ISR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.693515669,
"ISR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.412984578,
"TUR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",2.379951147,
"TUR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.050625441,
"TUR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.364629963,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.446242923,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.769850757,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.400501819,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.202524785,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.204118947,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.688076645,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.773953075,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.510970702,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.07471,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.9937,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.00188,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.05446,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-24.16165,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q3",24.8159,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q4",6.09667,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.18076,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-10.50918,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q3",13.73106,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.8396,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.07107679,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.595525669,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.443466089,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.532329527,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.076381643,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.552349288,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.831229731,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.46362229,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.010288925,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.464454805,
"LVA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",-0.210356375,
"LVA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",2.099321344,
"CZE","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.78597745,
"CZE","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.5484853,
"CZE","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.629132155,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.388261018,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.893719052,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q3",6.71354468,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.805777108,
"CZE","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.301200306,
"CZE","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.372034668,
"CZE","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.662411077,
"CZE","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.798692003,
"CZE","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.699990862,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.762161685,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.85558036,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.43885319,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.57292124,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.157659179,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.253206034,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.121776907,
